volgnr;SG;ADR;ZIEKTEISEI_1;CAT_dataset;label;drug;T01_affects;T01_augments;T01_bindswith;T01_bringsabout;T01_causes;T01_coexistswith;T01_complicates;T01_consumptioncontrolledby;T01_contains;T01_controlstransportof;T01_convertsto;T01_disrupts;T01_doesnotaffect;T01_doesnotaugment;T01_doesnotcause;T01_doesnotcoexistwith;T01_doesnotcomplicate;T01_doesnotconvertto;T01_doesnotdisrupt;T01_doesnotinhibit;T01_doesnotinteractwith;T01_doesnotpredispose;T01_doesnotprevent;T01_doesnotproduce;T01_doesnotstimulate;T01_doesnottreat;T01_doesnotuse;T01_exhibits;T01_indicates;T01_inhibits;T01_interactswith;T01_isa;T01_isadministeredto;T01_isassociatedwith;T01_isclassifiedas;T01_iscomparedwith;T01_isderivativeof;T01_isfunctionallyrelatedto;T01_ishigherthan;T01_isingredientof;T01_islocationof;T01_islowerthan;T01_ismanifestationof;T01_ismodifiedby;T01_isnota;T01_isnotadministeredto;T01_isnotassociatedwith;T01_isnothigherthan;T01_isnotlocationof;T01_isnotlowerthan;T01_isnotpartof;T01_isnotprocessof;T01_isnotthesameas;T01_isparentof;T01_ispartof;T01_isprocessof;T01_isthesameas;T01_istributaryof;T01_manages;T01_precedes;T01_predisposes;T01_prevents;T01_produces;T01_stimulates;T01_targets;T01_traverses;T01_treats;T01_uses;T12_affects;T12_augments;T12_bringsabout;T12_causes;T12_coexistswith;T12_complicates;T12_diagnoses;T12_disrupts;T12_doesnotaffect;T12_doesnotaugment;T12_doesnotcause;T12_doesnotcoexistwith;T12_doesnotcomplicate;T12_doesnotdisrupt;T12_doesnotoccurin;T12_doesnotprecede;T12_doesnotpredispose;T12_doesnotprevent;T12_doesnotproduce;T12_doesnottreat;T12_geneproductisbiomarkertype;T12_geneproductmalfunction;T12_geneproductvariantcauses;T12_geneproductvariantresultsinabnormal;T12_indicates;T12_inhibits;T12_isa;T12_isadministeredto;T12_isassociatedwith;T12_isconceptuallyrelatedto;T12_isfunctionallyrelatedto;T12_islocatedat;T12_islocationof;T12_ismanifestationof;T12_isnota;T12_isnotassociatedwith;T12_isnotlocationof;T12_isnotmanifestationof;T12_isnotprocessof;T12_isparentof;T12_isprocessof;T12_measures;T12_occursin;T12_ortholog;T12_precedes;T12_predisposes;T12_prevents;T12_produces;T12_treats
1;1;1;trainingf105;1;POS;4-aminosalicylic acid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
173;1;2;trainingf105;1;POS;4-aminosalicylic acid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
345;1;3;trainingf105;1;POS;4-aminosalicylic acid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
517;1;4;trainingf105;1;POS;4-aminosalicylic acid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
689;1;6;trainingf105;1;POS;4-aminosalicylic acid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
861;1;7;trainingf105;1;POS;4-aminosalicylic acid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1033;1;8;trainingf105;1;POS;4-aminosalicylic acid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;1;trainingf105;1;POS;abacavir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
174;1;2;trainingf105;1;POS;abacavir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
346;1;3;trainingf105;1;POS;abacavir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
